#data downloaded from http://stats.nba.com/leaders/alltime/#!?SeasonType=Regular%20Season&StatCategory=MIN 5/17/15
#TS = true shooting percentage, adjusts for 3PA and FT
Player	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	eFG%	TS%
George Senesky	482	27.3	7.2	2.7	8.5	31.3	-	-	-	1.9	2.6	70.2	-	-	3.5	3.2	-	-	-	31.3	37.2
Eric Snow	846	27.3	6.8	2.5	6.0	42.4	0.1	0.3	20.8	1.7	2.2	76.3	0.5	2.0	2.5	5.0	1.2	0.1	1.6	43.0	49.2
Troy Murphy	729	27.3	10.8	3.9	8.8	44.5	0.8	2.2	38.8	2.1	2.7	78.5	1.9	5.9	7.8	1.5	0.7	0.4	1.2	49.3	54.1
Robert Reid	919	27.3	11.4	4.8	10.6	45.8	0.1	0.4	29.1	1.6	2.2	73.2	1.3	3.3	4.5	2.7	1.1	0.4	1.4	46.3	49.4
Bob Leonard	426	27.3	9.9	3.7	10.6	34.9	-	-	-	2.5	3.3	74.5	-	-	2.9	3.3	-	-	-	34.9	40.9
Doc Rivers	864	27.3	10.9	3.8	8.6	44.4	0.4	1.3	32.8	2.8	3.6	78.4	0.7	2.3	3.0	5.7	1.8	0.4	1.9	46.9	53.4
Zydrunas Ilgauskas	843	27.2	13.0	5.0	10.5	47.6	0.0	0.1	31.0	3.0	3.8	78.0	2.9	4.4	7.3	1.1	0.5	1.6	1.8	47.8	53.4
Howard Komives	742	27.2	10.2	4.0	10.3	38.8	-	-	-	2.2	2.6	83.0	0.2	0.8	2.4	4.0	0.7	0.1	-	38.8	44.4
Jim Paxson	784	27.2	14.3	5.8	11.7	49.8	0.1	0.6	22.5	2.6	3.2	80.7	0.7	1.4	2.0	2.9	1.2	0.1	1.5	50.3	54.7
Morris Peterson	711	27.2	10.7	3.9	9.2	41.8	1.4	3.8	37.3	1.6	2.0	77.3	0.8	2.7	3.5	1.5	0.9	0.2	1.0	49.5	52.9
Tom Henderson	650	27.2	9.4	3.7	8.6	43.3	0.0	0.0	0.0	1.9	2.6	73.9	0.6	1.7	2.3	4.8	1.2	0.1	1.7	43.3	48.0
Eddie Johnson	1,199	27.2	16.0	6.4	13.6	47.2	0.5	1.4	33.5	2.7	3.2	84.0	1.5	2.5	4.0	2.1	0.6	0.2	1.7	48.9	53.3
Cazzie Russell	817	27.2	15.1	6.3	13.7	46.4	-	-	-	2.5	3.0	82.7	1.1	2.2	3.8	2.2	0.8	0.1	1.0	46.4	50.6
Voshon Lenard	565	27.2	11.9	4.3	10.4	41.5	1.7	4.3	38.4	1.6	2.1	78.7	0.6	2.2	2.8	2.1	0.8	0.2	1.3	49.4	52.6
Randy Foye	602	27.2	11.5	4.0	9.9	40.7	1.6	4.3	37.5	1.8	2.1	85.3	0.4	1.9	2.3	3.0	0.8	0.3	1.6	48.8	53.0
Chris Kaman	719	27.2	11.4	4.7	9.7	48.9	0.0	0.0	0.0	1.9	2.5	74.2	2.1	5.7	7.7	1.3	0.4	1.3	2.1	48.9	52.5
Paul Pressey	724	27.2	10.6	3.9	8.1	48.5	0.1	0.5	22.2	2.6	3.5	74.9	1.2	2.6	3.9	5.1	1.4	0.6	2.3	49.1	54.8
